
(0 行受影响)
DatbaseName                                                                                                                      SchemaName                                                                                                                       TableName                                                                                                                        IndexName
InstinctDRC                                                                                                                      dbo                                                                                                                              Criteria_Definition                                                                                                              IX_Criteria_Definition
InstinctDRC                                                                                                                      dbo                                                                                                                              Diary_Prompt                                                                                                                     PK_Diary_Prompt
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Accountant_Solicitor                                                                                                          PK_HC_Accountant_Solicitor
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Applicant                                                                                                                     PK_HC_Applicant
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Application                                                                                                                   PK_HC_Application
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_CBA                                                                                                                           PK_HC_CBA
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_CBB                                                                                                                           PK_HC_CBB
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_CBC                                                                                                                           PK_HC_CBC
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_CreditBureau                                                                                                                  PK_HC_CreditBureau
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Guarantor                                                                                                                     PK_HC_Guarantor
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Introducer_Agent                                                                                                              PK_HC_Introducer_Agent
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_PreviousAddress_Company                                                                                                       PK_HC_PreviousAddress_Company
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Reference                                                                                                                     PK_HC_Reference
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Security                                                                                                                      PK_HC_Security
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_U2A                                                                                                                           PK_HC_U2A
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_U2B                                                                                                                           PK_HC_U2B
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_U2C                                                                                                                           PK_HC_U2C
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_UCA                                                                                                                           PK_HC_UCA
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_UCB                                                                                                                           PK_HC_UCB
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_UCC                                                                                                                           PK_HC_UCC
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_User                                                                                                                          PK_HC_User
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_User2                                                                                                                         PK_HC_User2
InstinctDRC                                                                                                                      dbo                                                                                                                              HC_Valuer                                                                                                                        PK_HC_Valuer
InstinctDRC                                                                                                                      dbo                                                                                                                              HCriteria                                                                                                                        PK_HCriteria
InstinctDRC                                                                                                                      dbo                                                                                                                              HCriteria_Definition                                                                                                             PK_HCriteria_Definition
InstinctDRC                                                                                                                      dbo                                                                                                                              HProfile                                                                                                                         PK_HProfile
InstinctDRC                                                                                                                      dbo                                                                                                                              HProfile_Extension                                                                                                               PK_HProfile_Extension
InstinctDRC                                                                                                                      dbo                                                                                                                              HReport_Profile                                                                                                                  PK_HReport_Profile
