name,rows,reserved,data,index_size,unused
Reference_Tables_Fields,16,16 KB,8 KB,8 KB,0 KB
Reference_Tables_Status,2,16 KB,8 KB,8 KB,0 KB
Reference_Tables_Trigger,0,0 KB,0 KB,0 KB,0 KB
RefTable_ListLoanTotal,0,0 KB,0 KB,0 KB,0 KB
RefTable_UserLoginLogs,0,0 KB,0 KB,0 KB,0 KB
RefTable_UserUpdateInfoLogs,0,0 KB,0 KB,0 KB,0 KB
Report,28,16 KB,8 KB,8 KB,0 KB
Report_Profile,254,56 KB,40 KB,16 KB,0 KB
Retention_Fields,0,16 KB,8 KB,8 KB,0 KB
Review_Purpose,3,16 KB,8 KB,8 KB,0 KB
Rule_Admin_Group,0,16 KB,8 KB,8 KB,0 KB
Rule_Group,0,16 KB,8 KB,8 KB,0 KB
Rule_Sets,117,48 KB,32 KB,16 KB,0 KB
Rule_Sets_Confirm,1,16 KB,8 KB,8 KB,0 KB
Rules,134,40 KB,24 KB,16 KB,0 KB
Rules_Definition,262,208 KB,128 KB,24 KB,56 KB
Scorecard_Attributes,0,16 KB,8 KB,8 KB,0 KB
Scorecard_Definition,0,16 KB,8 KB,8 KB,0 KB
Scorecard_Intervals,0,16 KB,8 KB,8 KB,0 KB
Scorecard_Result_Details,0,0 KB,0 KB,0 KB,0 KB
Scorecard_Results,944,384 KB,168 KB,184 KB,32 KB
Security,4,32 KB,8 KB,24 KB,0 KB
Security_ApplicationType,4,16 KB,8 KB,8 KB,0 KB
Security_History,4,16 KB,8 KB,8 KB,0 KB
Security_Layout,5,152 KB,96 KB,8 KB,48 KB
Security_Maker_Checker,2,16 KB,8 KB,8 KB,0 KB
Security_Organisation,4,16 KB,8 KB,8 KB,0 KB
Security_Rule_Admin_Group,0,16 KB,8 KB,8 KB,0 KB
Sound_CN,56665,2184 KB,2160 KB,16 KB,8 KB
Strategy_Objectives,2,16 KB,8 KB,8 KB,0 KB
Strategy_TeamAssignment,3,16 KB,8 KB,8 KB,0 KB
Strategy_TeamAssignment_Result,85842,17720 KB,17248 KB,360 KB,112 KB
sysdiagrams,0,0 KB,0 KB,0 KB,0 KB
Team_Users,1,16 KB,8 KB,8 KB,0 KB
Teams,1,16 KB,8 KB,8 KB,0 KB
TranslateDic,3047,592 KB,248 KB,304 KB,40 KB
TranslateDic_20151211,3047,264 KB,240 KB,8 KB,16 KB
TriggeredRulesInvestigation,0,0 KB,0 KB,0 KB,0 KB
TriggeredRulesReview,0,0 KB,0 KB,0 KB,0 KB
User_Suspension,7,16 KB,8 KB,8 KB,0 KB
