
(0 行受影响)
DatbaseName                                                                                                                      SchemaName                                                                                                                       TableName                                                                                                                        IndexName
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_Mobile_Phone_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_Sequence_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_Sex
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_Surname
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field1
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field10
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field13
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field14
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field2
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field3
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field4
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field5
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field6
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field7
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field8
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Applicant                                                                                                                      IX_C_Applicant_User_Field9
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Action_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Action_Taken
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_AddUpdate_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Amount_Limit 
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Application_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Application_Type
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Case_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Country_Code
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Decision
